PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[4*]c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1c(OC([H])([H])[H])c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c([H])nc(C([H])([H])[H])nc12,-1.3749051573689341,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[3*]N([H])[C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C(F)(F)F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c([C@]([H])(N([H])[H])C([H])([H])[H])c([H])c1C(F)(F)F,1.0112606000707158,TRP35,TRP35
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c(OC([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1c(OC([H])([H])[H])c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc12,-1.5396279852355514,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C(F)(F)F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C(F)(F)F,1.175983427937333,TRP35,TRP35
6SCM_L7H_A,[9*]c1c([H])c(N([H])[H])c([H])c(C(F)(F)F)c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C(F)(F)F)c1[H],2.8708239217052363,TRP35,TRP35
6SCM_L7H_A,[30*][C@]1([H])C([H])([H])OC([H])([H])C1([H])[H],[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],-0.1934436933910662,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[17*]OC([H])([H])[H],[H]OC([H])([H])[H],0.7717043344145278,TYR36,TYR36
6SCM_L7H_A,[20*]C(F)(F)F,[H]C(F)(F)F,1.4235726021627855,TRP35,
6SCM_L7H_A,[22*]O[C@]1([H])C([H])([H])OC([H])([H])C1([H])[H],[H]O[C@]1([H])C([H])([H])OC([H])([H])C1([H])[H],-0.5335590325705908,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*]c1nc([5*])nc2c([H])c(OC([H])([H])[H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c12,[H]c1nc([H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2n1,-1.4935614308564402,TYR36,"TRP35,TYR36"
