,kind,PDBsource,Smiles,HydrophobicResidues
92106,inactive,6DAZ_G3M_A,*C(=[NH2+])NCCC[C@H](*)[C@H](*)C(=O)[O-],ASP222
125937,inactive,7MZ2_0KX_A,*C[C@H]1O[C@@H](n2ccc(*)nc2=O)C[C@@H]1*,"ASP276,DT10"
143627,inactive,8E7N_K36_A,*COC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C*)C*,"LEU162,ASP184,LYS45,HIS41,GLU186"
83192,inactive,5RL4_VEV_A,*C(*)(*)C,ASP187
2576,active,1IEP_STI_A,*Cc1ccc(C(*)=O)cc1,ASP381
5483,active,6C8C_EQ7_B,*Nc1[nH]c2c(*)ccc([N+](*)=O)c2c(=O)c1C(=O)CC(*)C,"TYR112,GLN109,LEU74,ASP75"
40381,active,5EA3_5NK_F,*Cn1c(NC2CCN(*)CC2)[nH+]c2c(C)cccc21,"PHE140,PHE488,ASP489"
86034,inactive,5UN8_NAG_E,*[C@H]1[C@H](O)[C@@H](NC(C)=O)CO[C@@H]1*,"TYR219,ASP174,TRP278"
138001,inactive,8A74_GPP_A,*C(*)=CCCC(*)=CCO[P@](*)(=O)OP(*)(=O)[O-],"LEU175,LYS276,ASP179,THR243"
86250,inactive,5V53_MPD_A,*[C@@H](C)CC(*)(C)O,ASP83
91897,inactive,6CD6_DXV_A,*C1CCCC1,ASP293
57006,inactive,4EYL_0RV_A,*SC1=C(C)[C@H]([C@H](*)[C@H](*)C)[NH+]=C1C(=O)[O-],"ASP124,HIS122"
6371,active,6ES0_BW8_A,*c1ccc(*)c(F)c1,"ASP164,LEU70,GLU66,TRP170,TRP170"
48279,inactive,3K2R_V1A_A,*[NH+]1C(*)(C)N=C([S-])C1(C)C,ASP61
111389,inactive,7AIS_8UH_A,*CCCCCC(=O)N*,"ASP72,TYR334,PHE330,PHE330"
112320,inactive,7BGC_TKN_A,*NCCCCCCCCc1cccc(O*)c1*,"VAL288,ASP70"
134379,inactive,7W5J_FPP_B,*C(=*)CCC=C(C)CCC=C(*)C,"THR272,VAL236,ILE124,PHE125,ILE124,ASP128"
22484,active,3HY7_097_A,*C[C@@H](C(=O)N[C@H](C(=O)N*)C(*)(C)C)[C@@H](*)*,ASP377
70576,inactive,5C1L_DA8_A,*O[C@@H]1O[C@H](CO)[C@H](O)C[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](*)[C@@H]1*,"ASP326,TRP300"
84332,inactive,5T6E_75R_A,*c1cc(*)c(OCc2c(*)ccnc2C)c(Cl)c1,"TYR263,PHE157,ASP150"
1764,active,1FKH_SBX_A,*CC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](*)*,"TRP59,ILE90,PHE36,TYR26,ASP37,PHE46,TRP59"
27178,active,3RAL_04Z_A,*Nc1nc(N)c(C(=O)c2cccc(O*)c2)s1,"VAL18,ASP145"
57978,inactive,4FOX_UMP_A,*OC[C@H]1O[C@@H](*)C[C@@H]1O,ASP169
12667,active,2CEM_2AH_B,*CN(C[C@](*)(O)C(=O)N[C@H]1c2ccccc2C[C@H]1O)N*,"ASP130,ILE147,VAL132,ILE50,ALA128"
101288,inactive,6PFA_UFP_A,*OC[C@H]1O[C@@H](*)C[C@@H]1O,ASP426
74778,inactive,5EJ8_TD6_A,*C[C@H](*)c1sc(*)c(C)[n+]1Cc1cnc(C)nc1*,"TYR447,ASP419,PRO30,ILE418"
67259,inactive,4Y5M_47Y_A,*CC[n+]1cnc2oc(C)c(*)c2c1*,ASP15
105735,inactive,6UQN_FUM_B,*C=CC(=O)[O-],"ALA336,ASP135"
69918,inactive,5BXC_DA8_A,*CCO[C@@H]1O[C@H](C*)[C@H](O)C[C@H]1O[C@@H]1O[C@@H](C)[C@@H](*)[C@@H](*)[C@@H]1O,"ASP326,PRO234,TRP300,LEU329"
32901,active,4DWG_0M8_A,*CCCCCC[NH2+]C[C@H](*)[P@](*)(*)=O,"TYR94,GLN167,THR163,TYR94,ASP98"
62848,inactive,4PIS_3FU_A,*CNC(=O)[C@@H](NC(=O)[C@H](*)c1cc(*)cc(Cl)c1)[C@@H](C)C*,ASP26
73672,inactive,5CQH_DC_A,*c1ccn([C@H]2C[C@H](O)[C@@H](CO[P@@](*)(*)=O)O2)c(=O)n1,ASP314
145925,inactive,8J5W_A4U_A,*Nc1cc(*)cc(C[NH+]2CCN(*)CC2)c1,"LEU486,GLU560,ASP668"
9030,active,6VEI_9UO_B,*c1cccc(-c2nc(N[C@@H](*)C)nc(N[C@H](*)C(*)(*)F)n2)n1,"ASP273,VAL276,VAL255"
37629,active,4QHP_32R_A,*Cc1ccccc1,"VAL205,ASP244,ARG203"
38358,active,4UXQ_0LI_A,*Nc1ccc(C[NH+]2CCN(C)CC2)c(C(*)(F)F)c1,"ILE527,ILE534,ASP630"
585,active,1D4H_BEH_B,*[C@@H](*)[C@H](O)[C@@H](O)[C@@H](*)C(=O)N[C@H]1c2ccccc2C[C@H]1*,"ILE147,VAL132,ASP130,ILE147,ALA128"
63976,inactive,1JF7_TBH_B,*C[C@H]([NH2+][C@@H](*)[C@H](Cc1ccccc1)N[C@@H](O)OC(*)(*)C)[C@H](*)*,"ARG47,ASP48,TYR46"
113088,inactive,7CUW_UQ8_A,*OC1=C(*)C(=O)C(CC=C(*)CCC=*)=C(C)C1=O,"ASP75,ALA74,LEU160"
138603,inactive,8A7K_IPE_A,*[P@](*)(=O)OCCC(=*)C,"PHE315,ASP319"
43422,active,5VIJ_5DX_B,*[C@H](*)Cc1cc(C(=O)[O-])nn1-c1ccc(Br)cc1,"ILE136,THR116,ASP215"
113084,inactive,7CUW_UQ8_A,*C(C)=CCC1=C(C)C(=O)C(OC)=C(*)C1=O,"ASP75,ALA74,LEU160"
