,kind,PDBsource,Smiles,HydrophobicResidues
473961,inactive,6ZI6_MQ7_M,*C=C(*)C,"TRP100,ILE254"
326084,inactive,5IJQ_5JK_A,*C(C)CCC[C@H](*)C,"PHE274,LEU78,TRP254,PHE249"
549620,inactive,7S4I_PLC_C,*CCC(=O)O*,TRP234
77198,active,3IAE_D7K_A,*Cc1sc([C@](*)(c2ccccc2)[P@@](*)(*)=O)[n+](C*)c1*,"TYR397,TRP478,ALA480"
524011,inactive,1TN5_RET_A,*C=C(*)C=CC=C(C)C=CC1=C(*)CCCC1(C)C,"TRP182,TYR185,TYR83,TRP189,TYR185,THR90"
17487,active,1R1J_OIR_A,*C(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](*)*,"PHE106,PHE106,TRP693,PHE563,VAL692,VAL580,TRP693"
293263,inactive,5A44_RET_A,*C(C=CC1=C(C)CCCC1(*)*)=CC=CC(C)=CC,"ALA215,TRP182,TRP189,LYS216,TYR185,TYR185,THR90,PRO186"
576626,inactive,7YN3_PNS_B,*NC(=O)[C@H](*)C(*)(C)C,TRP152
426688,inactive,6MQZ_RET_A,*C=C(*)C=CC=*,TRP109
635860,inactive,2FSL_BOG_X,*CCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](*)[C@H]1*,"LEU246,TRP197,LEU291,LEU195,TRP197"
652148,inactive,2QXI_K7J_A,*N[C@H](*)C,TRP215
310832,inactive,5DIY_NAG_P,*NC(C)=O,"ASP119,TYR168,TRP221"
227044,inactive,4AWT_BOG_A,*C[C@H]1O[C@@H](OCCCCCCCC)[C@H](O)[C@@H](O)[C@@H]1O,"TRP274,PHE350,TRP274"
563299,inactive,7VV6_6IB_R,*c1ccc(*)c(Cc2cc(CC[NH2+]C)cc(*)c2OC)c1,TRP243
518022,inactive,1R2C_MQ7_M,*C=C(C)CCC=C(C)CCC=*,"TRP100,PHE256"
81026,active,3MC5_393_A,*Oc1cc(*)ccc1*,"PHE122,TRP20"
160292,inactive,1D1Q_4NP_A,*c1ccc(OP(*)(=O)[O-])cc1,"PHE17,TRP134"
55717,active,2PK4_ACA_A,*CCCCC(=O)[O-],"TRP72,PHE64"
170788,inactive,3AZ1_DS2_A,*Oc1ccc(C(CC)(CC)c2ccc(O*)c(C)c2)cc1*,"VAL234,VAL300,TYR295,VAL300,LEU309,TRP286"
514615,inactive,1PXS_RET_A,*C(C=CC=C(C)C=CC1=C(*)CCCC1(*)C)=CC,"LYS216,TRP182,TYR185,TYR83,TRP189,TYR185,THR90"
101994,active,4CTH_RDF_A,*C(=O)[C@H](CC(C)C)N[P@@](=O)([O-])O[C@@H]1O[C@@H](*)[C@H](*)[C@@H](O)[C@H]1O,"TRP693,ILE558"
566319,inactive,7W6F_8I6_A,*CCc1cc(O)cc(*)c1C(=O)[O-],"ILE94,TRP89,LEU92"
569756,inactive,7XFA_D9J_A,*c1nc([C@@H]2O[C@H](*)[C@H](*)[C@H](*)[C@H]2*)n(-c2cc(Cl)ccc2*)n1,TRP181
300831,inactive,5BXC_DA8_A,*CCCCO[C@@H]1O[C@H](*)[C@H](O)C[C@H]1O[C@@H]1O[C@@H](*)[C@@H](*)[C@@H](*)[C@@H]1O,"PHE236,TRP300,LEU329"
424608,inactive,6MCJ_45D_A,*C=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,"LEU27,PRO112,TRP28,LEU99,TRP96,LEU24,TYR115,ILE109,LEU66"
658811,inactive,2VQY_PAR_A,*O[C@@H]1[C@@H](O)[C@H](*)C[C@H]([NH3+])[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](*)[C@H]1*,"TYR93,TRP102"
220645,inactive,3W0H_W12_A,*CCC(*)(CCC)c1ccc(OC[C@H](*)O)cc1,"LEU229,LEU226,ASP295,TYR291,VAL296,ILE267,TRP282,LEU226"
365866,inactive,5YHL_8VL_A,*C(=O)Nc1cc(C#N)ccc1CCCC(=O)[O-],"LEU312,TRP169,ILE315"
186320,inactive,3HAO_RET_A,*C(C)=CC=*,"TYR185,TRP182"
628685,inactive,2BPO_FAD_A,*Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,"TRP691,TRP691,TYR440"
230388,inactive,4D1Y_RBF_A,*c1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](*)[C@H](*)*)c2cc1*,TRP164
616945,inactive,1V0C_KNC_A,*[C@@H]1[C@@H](O)[C@H](O[C@H]2O[C@H](*)[C@@H](*)[C@H](*)[C@H]2[NH3+])[C@@H](*)C[C@H]1[NH3+],"TRP102,TYR93"
572496,inactive,7XRU_2CF_A,*CCC(*)=CCCC(C)=C(*)CO[P@](*)(=O)O*,"THR343,PHE293,ILE249,PHE248,PHE248,PHE344,TRP393"
284947,inactive,4X55_CTJ_A,*C(=O)C(C)(C)ON=C(*)c1csc(N)n1,TRP219
103723,active,4DKR_0LJ_A,*C(=O)C(=O)Nc1ccc(Cl)c(F)c1,"THR257,TRP427,GLU370,PHE382,ILE424"
565203,inactive,7VYN_PEE_C,*CCCCCC*,"TRP193,PHE310"
376896,inactive,1KQA_COA_B,*CC(*)(C)[C@@H](O)C(=O)NCCC(=O)NCCS,TRP139
613193,inactive,8K7B_PEV_A,*CCCCCCCCCCCCCCCC,TRP239
635474,inactive,2FIK_NAG_A,*[C@H]1[C@H](*)[C@@H](CO)OC[C@@H]1NC(C)=O,TRP23
68624,active,3CJ5_SX6_A,*CC(=O)Nc1ccc(Br)cc1*,"TYR477,HIS475,TRP528"
481763,inactive,7ATE_PC1_C,*CCCCCCCCC(=O)O[C@@H](C*)COC(=O)CCC*,"PHE273,TRP323,LYS110,TRP106"
184117,inactive,3GD8_BOG_A,*[C@H]1[C@H](*)[C@@H](CO)O[C@@H](OCCCCCCCC)[C@@H]1O,TRP231
232663,inactive,4E6A_0O9_A,*C[C@@H](CO[P@](*)(=O)O[C@@H]1[C@H](*)[C@H](O)[C@@H](O)C[C@@H]1*)O*,TRP197
273887,inactive,4QI1_RET_A,*C=C(C)C=CC1=C(*)CCCC1(*)C,"TYR193,TRP94,TRP197,PRO194"
62264,active,2XC4_IVK_A,*NC(=O)[C@H]1CN(*)C[C@@H]1C(=O)Nc1ccc(*)cc1*,TRP215
46728,active,2C8X_C5M_B,*C[C@H](*)[C@H](*)CNS(=O)(=O)c1c(*)cc(OC)c(C)c1*,"ILE174,TRP215"
510377,inactive,7LHO_RET_A,*C(C=CC1=C(C)CCCC1(*)*)=CC=CC(=*)C,"TRP58,TYR60,PHE16,LEU77,TRP19,ALA33,TRP106,LEU117"
655754,inactive,2UWU_CDL_M,*OC(=O)CCCCCCCC,TRP148
22637,active,6ET8_BWH_A,*C[C@H](N*)C(=O)Nc1ccc(C(=O)N*)cc1,"TRP195,ILE95,PRO134,LEU130,LEU71"
576540,inactive,7YML_U10_L,*=CCCC(=*)C,"VAL78,TRP143,GLN88"
37054,active,1RK3_VDX_A,*C[C@@H](*)[C@H]1CC[C@H]2C(=CC=C3C[C@@H](*)C[C@H](*)C3=C)CCC[C@]12*,"TRP282,LEU229,VAL296,TYR143"
538840,inactive,7P4J_5JK_A,*[C@H]1CC[C@@]2(*)C(=C[C@@H](O)[C@H]3[C@@H]4CC[C@H]([C@H](*)*)[C@@]4(*)CC[C@@H]32)C1,"PRO258,ILE261,LEU78,PHE274,TRP254,PHE274"
230129,inactive,4CX2_HW1_A,*[C@H]1C[NH2+]C[C@H]1Cc1cc(C)cc(N)[nH+]1,TRP449
77703,active,3IN8_FYI_A,*C[C@H](CC(=O)NC)C(=O)N[C@@H](*)C(=O)N[C@@H](C*)C(N)=O,TRP121
270325,inactive,1JYW_147_A,*[C@@H]1[C@H](O)[C@@H](*)[C@H](Oc2ccc([N+](=O)O)cc2)O[C@@H]1CO,"VAL103,TRP999"
182853,inactive,3FEP_LMC_A,*C(=*)C=CC=C1N(C)c2ccccc2C1(*)*,"TRP59,PHE15"
485009,inactive,7BLZ_PQN_A,*CC1=C(C)C(=O)c2ccccc2C1=O,"PHE682,ARG687,LEU715,TRP690"
434022,inactive,6ONM_MWG_A,*[C@](C=*)(CCC=C(CF)CF)O[P@@](=O)([O-])OP(=O)([O-])[O-],TRP315
110254,active,4HY5_1AQ_A,*CO[C@@H]1C[C@@H]2CN(C(=O)[C@@H](*)*)[C@H](*)C[N@H+]2C1,TRP323
574036,inactive,7XZH_POV_A,*CCO[P@@](=O)([O-])OC[C@H](CO*)OC(=O)C*,"TYR124,TRP120"
541614,inactive,7PZL_TRT_A,*Oc1ccc(C(C)(C)CC(*)(*)C)cc1,"LEU100,ALA58,LEU100,LEU65,PHE97,TRP62,LYS96"
225538,inactive,3ZUO_LTB_A,*CC=CC[C@@H](O)C=CC=*,"TRP133,TYR43,PHE36,PHE89"
519563,inactive,1RWO_BTH_A,*NCCCC[C@H](*)C(=O)N[C@H](*)*,TRP340
291461,inactive,4YU1_53N_A,*CCc1ccc(-c2cccc([N+](=O)O)c2)s1,"TRP20,TRP111,PHE115,LEU300,TRP111,LEU300,TRP79,PHE122,TRP219"
301663,inactive,5C1G_DA8_A,*[C@H]1[C@H](O)[C@H](O[C@@H]2C[C@@H](O)[C@@H](*)O[C@H]2*)O[C@@H](*)[C@H]1O,TRP300
222112,inactive,3WGP_ED9_A,*C[C@@H](C)[C@H]1CC[C@H]2C(=*)CCC[C@]12*,"LEU309,LEU313,LEU230,TYR295,VAL300,TRP286"
275264,inactive,4QY2_SIA_E,*[C@@H](O)[C@@H](O)[C@@H]1O[C@@](*)(C(=O)[O-])C[C@H](O)[C@H]1NC(C)=O,"TRP144,VAL146"
147674,active,5UV1_0FV_A,*CC(*)=C(*)CO[P@](=O)([O-])O*,TRP315
404165,inactive,6GUX_DD9_A,*CCCC,TRP147
650496,inactive,2Q5O_TPW_A,*CCO[P@@](=O)([O-])OP(=O)([O-])[O-],TRP459
503692,inactive,7K3D_VWP_B,*CCC[C@H](NC(=O)[C@@H]1C=CCN1C(=O)C*)C(*)=O,"TRP136,TYR34,ILE37,LEU31,TYR34,TYR215"
213232,inactive,3UG9_RET_A,*C=C(*)C=CC=C(C)C=CC1=C(*)CCCC1(C)C,"TRP163,TRP163,PHE265,PRO266,PHE217,PHE265,TRP262"
242977,inactive,4J7Y_1JP_A,*C(=O)C=NC(=O)[C@@H](*)CSC[C@H](*)CCc1ccccc1,"LEU115,TRP116,TYR59,VAL119"
508484,inactive,7KV8_1Q0_A,*CCCCCCCCC=C[C@@H](*)[C@H](*)*,"TRP420,TYR444,HIS437"
354119,inactive,5UIJ_TYD_A,*[C@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@@H]1O,"ILE309,TRP305,TYR343,TYR313,TYR313"
343537,inactive,5O7M_CYC_A,*C[C@H]1C(=Cc2[nH]c(C=*)c(*)c2C)NC(=O)[C@@H]1*,"TRP128,LYS83"
48001,active,2DUZ_ZST_A,*CC(=O)[O-],TRP20
417760,inactive,6JYA_RET_A,*C=C(*)C=CC=C(*)C=CC1=C(*)CCCC1(*)*,"TRP99,TYR204,TYR208,PRO205,ILE103,TYR204"
397680,inactive,6G2L_EJ8_A,*c1ccccc1,TRP76
300244,inactive,5BR2_RET_A,*C=C(*)C=CC=C(*)C=CC1=C(C)CCCC1(*)C,"MET145,PRO186,TYR185,TYR185,THR90,TRP189"
668569,inactive,2ZMH_NYA_A,*[C@]12CCCC(=CC=*)[C@@H]1CC[C@@H]2[C@H](C)C=*,"VAL296,TRP282"
129174,active,5ABH_YWN_A,*CCC*,TRP286
418960,inactive,6KAJ_RB0_A,*[C@H](*)[C@H](*)C,TRP418
103449,active,4DK8_0KT_A,*CCn1cccc1[C@@](*)(c1ccc(N(*)*)cc1)C(F)(F)F,"PHE329,TRP457"
254381,inactive,4NMY_VIB_A,*c1nc(C)ncc1C[n+]1csc(*)c1*,"TRP163,PHE160"
564334,inactive,7VXU_PEE_C,*CCCC(=O)OC[C@H](CO[P@@](*)(=O)O*)OC(=O)CC*,"VAL54,LEU190,TRP193"
448461,inactive,6SNH_LMH_X,*=CCCC(=*)C,"TRP102,TYR103"
83381,active,3NS7_3NS_B,*NC(=O)C[C@H](C(*)=O)C(C)C,"TRP340,VAL338"
445685,inactive,6RRN_KFT_A,*CCC*,TRP95
627844,inactive,2BI5_PLP_A,*c1c[nH+]c(C)c(*)c1C,"LYS196,TRP102,THR148,TRP102"
570870,inactive,7XK4_LMT_B,*CCCCCCCO[C@@H]1O[C@H](C*)[C@@H](O*)[C@H](O)[C@H]1*,"ILE306,TRP327"
