,kind,PDBsource,Smiles,HydrophobicResidues
38206,active,5ZF4_9BL_A,*CCC(C)=CCc1c(*)c(*)c(*)c(Cl)c1[O-],"LEU46,GLN47,ALA55,THR360,HIS56"
977,active,1FM9_9CR_A,*C1=C(C=*)C(*)(C)CCC1,"VAL342,ILE268,HIS435,ILE345"
124593,inactive,7RW1_800_A,*C(=O)N[C@H](C(=O)N[C@@H](CC(*)C)C(*)=O)C(*)C,HIS41
4829,active,1OS5_NH1_A,*Sc1cc(*)c(*)cc1*,HIS475
133008,inactive,7UKK_K36_A,*C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(*)=O,"ASP187,HIS41,MET49"
165251,inactive,2WPO_01E_A,*N[C@H](C(=O)N[C@H](*)CC(=O)n1cccc1)C(*)(C)C,"HIS63,LEU32"
37759,active,5YP6_4CX_A,*Cc1ccc(-c2ccc(*)cc2C(F)(F)F)cc1*,"ILE397,HIS323,LEU396,ILE400,PHE388,LEU324"
78689,inactive,5RGT_UHS_A,*c1cc(C(C)(C)C)on1,"HIS41,GLN189"
40378,inactive,1E14_SPN_M,*CCCCC(C)=CCCC(C)=CCCC(C)=CCC(*)=O,"HIS182,ILE70,LEU89,PHE74,PHE67,VAL175"
76365,inactive,5NWN_LBV_A,*CCc1c(C=C2N=C(*)C(C)=C2CCC(=O)[O-])[nH]c(*)c1*,"TYR216,ILE208,HIS260,THR256,ALA212"
80306,inactive,5V31_ARG_A,*NCCC[C@H](*)*,"HIS189,ILE186"
82085,inactive,5Y19_8KO_A,*C(=O)[C@H](CC(C)C)NC(=O)[C@@H](*)[C@H](*)Cc1ccccc1,"TYR575,VAL459,VAL459,HIS496,VAL493,TYR580,GLU319"
129407,inactive,7T4A_EQS_A,*C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](*)*,"MET165,HIS41"
18418,active,3H0A_9RA_A,*c1cc2c(cc1C)C(*)(C)CCC2(C)C,"HIS435,VAL342,PHE346,LEU436,TRP305,ILE268,ILE345"
9865,active,7GCH_LPF_G,*C(=O)N[C@@H](CC(*)C)C(=O)N[C@@H](*)C(*)=O,"HIS57,ILE99"
