,kind,PDBsource,Smiles,HydrophobicResidues
960699,inactive,8FZ7_YQ1_A,*CCCC[N+](CC*)(CCCCC)CCCCC,"ILE84,PHE87"
234966,active,4HEG_G52_A,*C(=O)N[C@@H](*)[C@H](*)CN(CC(*)*)S(=O)(=O)c1ccc(OC)cc1,"ILE84,ALA28,VAL32"
219016,active,4CPM_G39_A,*OC(*)CC,ILE220
17366,active,1J4R_001_A,*Oc1c(OC)cc(C(*)(*)C(=O)N2CCCC[C@H]2*)cc1OC,"PHE46,TYR26,TRP59,ILE90"
415060,inactive,3WO6_OLC_A,*CCCCCCC,"ILE182,TYR185"
843989,inactive,1U40_CDM_A,*OC[C@@H](O)[C@@](C)(O)CO,"LEU76,ILE57"
842568,inactive,1TNY_MGM_B,*C[NH+](C)CCC=C(C)CCC=C(C)CCC=C(*)*,"ILE10,ARG173,ILE10,TYR176,ARG173,TRP275"
20202,active,1LHD_DI2_H,*[C@H](*)Cc1ccccc1,"ILE174,TRP215,LEU99"
961470,inactive,8G52_PLM_A,*CCCCC*,"ALA227,ILE231"
195459,active,3S53_017_A,*C[C@H](*)[C@H](*)CN(CC(C)C)S(=O)(=O)c1ccc(*)cc1,ILE82
561761,inactive,5LX5_7A0_A,*CNC(=O)c1ccc(-c2ccc(N*)c(F)c2)nc1N*,"ILE309,ILE351,TYR188,VAL242"
722312,inactive,6RP2_LMT_S,*CCCCCCCCCO*,"VAL9,ILE72,MET163,VAL164,ILE7"
203832,active,3UEV_MYR_A,*CCCCCCCC*,"ILE56,PHE105,LEU39,LEU58"
837782,inactive,1S00_U10_L,*OC1=C(OC)C(=O)C(C)=C(CC=*)C1=O,"PHE216,LEU189,ILE229,LEU193,ILE224"
495541,inactive,4RC7_PL3_A,*CCCCCCCCC*,"PHE117,ILE27,ALA118"
430635,inactive,4EH7_0OO_A,*Oc1ccccc1,"LEU104,LYS53,THR106,ILE84"
911260,inactive,7XQF_C14_A,*CCCCCCCCCCC,"PHE165,ILE157,PHE161,LEU91"
850550,inactive,7MYY_7OA_A,*C[C@H](*)[C@H](*)CN(C*)S(=O)(=O)c1ccc2nc(N*)sc2c1,"ALA28,ILE84,ILE84,ILE50"
114035,active,2Q2Y_MKR_A,*CC[C@]1(*)C(C(*)=O)=NN2c3cc(*)ccc3OC[C@H]21,"LEU214,GLU116,ILE136"
583775,inactive,5SDA_GI6_A,*COc1ccccc1C[C@H](*)C(*)=O,"ILE61,LEU68"
776647,inactive,7C2M_FFU_A,*c1cc(*)c2cc(*)[nH]c2c1,"VAL638,ILE297,ILE253,LEU686,ILE253,LEU642"
359955,inactive,3I6D_ACJ_A,*c1cc(Oc2ccc(C(*)(*)F)cc2C)ccc1[N+](*)=O,"LEU68,ILE176"
222261,active,4DJR_0KJ_A,*C[C@H](*)CN(*)C[C@@H](O)[C@H](Cc1ccccc1)NC(*)=O,"VAL82,LEU23,PRO81,ILE84"
276765,active,5CU4_54S_A,*C(=O)Nc1cccc(C(*)=O)c1,"VAL66,ILE174,VAL116,ILE174,PHE113"
560192,inactive,5LFA_DLZ_A,*c1nc2c(=O)[nH]c(=O)nc-2n(C[C@H](*)[C@H](*)[C@H](*)*)c1C,ILE51
74153,active,7CPA_FVF_A,*C(=O)N[C@@H](C(*)C)[P@@](=O)([O-])O[C@@H](*)C(=O)[O-],ILE247
754813,inactive,6YXG_OLB_A,*OC(=O)CCCCCCCC=CCCCCCCCC,"ILE164,PHE168"
527475,inactive,5C8C_STE_A,*CCCCCCCCC,"VAL190,PHE233,ILE111,VAL179,PHE137,PHE233,TYR155"
